Recipes,Type,Ingredients,Favorites,URL
Limettinuudelit,"Lunch, Main Course","Lime (https://app.notion.com/p/Lime-2f55c35c29d080b1850ad0d4b8cb160e?pvs=21), Noodles (https://app.notion.com/p/Noodles-2f85c35c29d0806eb00ec89baf087622?pvs=21), Ginger (https://app.notion.com/p/Ginger-2f75c35c29d080d3a2c4f69b46355024?pvs=21), Coriander (https://app.notion.com/p/Coriander-2f55c35c29d080998391dd6271449a1a?pvs=21), Peanut butter (https://app.notion.com/p/Peanut-butter-2f85c35c29d0808682b4cc912ea45c74?pvs=21), Salottisipuli (kotimainen) (https://app.notion.com/p/Salottisipuli-kotimainen-2f85c35c29d0802983a5db44e18e456a?pvs=21), Red chili (https://app.notion.com/p/Red-chili-2f85c35c29d080dc96fae828fe00c341?pvs=21), Garlic (https://app.notion.com/p/Garlic-2f15c35c29d08164a4dbccc0bf020341?pvs=21), Syrup (https://app.notion.com/p/Syrup-2f85c35c29d080a78b27e3e04ded4cb2?pvs=21), Stevia (https://app.notion.com/p/Stevia-2f85c35c29d0807cb32ae60af214a4f4?pvs=21), Paksoi/bok choy (kotimainen) (https://app.notion.com/p/Paksoi-bok-choy-kotimainen-2f85c35c29d0805f8407f1681ec67e0e?pvs=21)",No,https://satokausi.fi/limettinuudelit/
Munakoisopasta,Main Course,"Tofu (https://app.notion.com/p/Tofu-2f15c35c29d080b2a365d9b2b845d750?pvs=21), Tomatoes (https://app.notion.com/p/Tomatoes-2f15c35c29d0815bbb15d242ff85d284?pvs=21), Eggplant (https://app.notion.com/p/Eggplant-3b55c35c29d08037b4cec7160d3aa035?pvs=21), Tomaattimurska (https://app.notion.com/p/Tomaattimurska-32c5c35c29d08021bb3ae0cb272ef8e1?pvs=21), Garlic (https://app.notion.com/p/Garlic-2f15c35c29d08164a4dbccc0bf020341?pvs=21), Basil (https://app.notion.com/p/Basil-2f15c35c29d081988dccc3d79235395b?pvs=21), Sunflower seeds (https://app.notion.com/p/Sunflower-seeds-3b55c35c29d08015add2cf383aa979b4?pvs=21)",No,https://www.sydanmerkki.fi/resepti/munakoisopasta-2
Naan,Side Dish,"Flour (https://app.notion.com/p/Flour-31b5c35c29d080c69624ebd728d85a7d?pvs=21), Kuivahiiva (https://app.notion.com/p/Kuivahiiva-31b5c35c29d080bab319e9133cac156d?pvs=21), Milk (https://app.notion.com/p/Milk-2f65c35c29d080998742dc8bad45be59?pvs=21), Eggs (https://app.notion.com/p/Eggs-2f15c35c29d0810a9d34cef9c6bb558a?pvs=21)",No,https://ravintolanepal.fi/naan/
Paahdettu kikhernepasta,Main Course,"Chickpeas (https://app.notion.com/p/Chickpeas-2f15c35c29d0810cb58ce23146535d01?pvs=21), Tomatoes (https://app.notion.com/p/Tomatoes-2f15c35c29d0815bbb15d242ff85d284?pvs=21), Garlic (https://app.notion.com/p/Garlic-2f15c35c29d08164a4dbccc0bf020341?pvs=21), Pasta (https://app.notion.com/p/Pasta-2f15c35c29d081e1ab56edf33a0024a8?pvs=21), Feta (https://app.notion.com/p/Feta-2f15c35c29d080a3a5e5e15abcdf7097?pvs=21)",No,https://yhteishyva.fi/reseptit/paahdettu-kikhernepasta/3OS5ciQxwvO4VYy4hfLVPX
Palak paneer,Main Course,"Feta (https://app.notion.com/p/Feta-2f15c35c29d080a3a5e5e15abcdf7097?pvs=21), Garlic (https://app.notion.com/p/Garlic-2f15c35c29d08164a4dbccc0bf020341?pvs=21), Onion (yellow, kotimainen) (https://app.notion.com/p/Onion-yellow-kotimainen-2f75c35c29d080b3ac55c2e22688765d?pvs=21), Red chili (https://app.notion.com/p/Red-chili-2f85c35c29d080dc96fae828fe00c341?pvs=21), Spinach (https://app.notion.com/p/Spinach-2f65c35c29d080c3966cefc2f2254813?pvs=21)",Yes,https://www.k-ruoka.fi/reseptit/palak-paneer
Perunapannukakku tuorejuustotäytteellä,Main Course,Cheese (https://app.notion.com/p/Cheese-2f15c35c29d080fb8d8dec6a93cbc15d?pvs=21),No,https://satokausi.fi/perunapannukakku-tuorejuustotaytteella/
Pesto (A ei tykännyt),Side Dish,"Basil (https://app.notion.com/p/Basil-2f15c35c29d081988dccc3d79235395b?pvs=21), Cashew (https://app.notion.com/p/Cashew-3a45c35c29d080ab8fcfc709d78e13a9?pvs=21), Garlic (https://app.notion.com/p/Garlic-2f15c35c29d08164a4dbccc0bf020341?pvs=21), Parmesan Cheese (https://app.notion.com/p/Parmesan-Cheese-2f15c35c29d081f398dbf2f3f7b3b180?pvs=21)",No,https://www.k-ruoka.fi/reseptit/taytetyt-portobellot
Pinaattiletut,"Main Course, Side Dish","Spinach (https://app.notion.com/p/Spinach-2f65c35c29d080c3966cefc2f2254813?pvs=21), Milk (https://app.notion.com/p/Milk-2f65c35c29d080998742dc8bad45be59?pvs=21), Oat milk (https://app.notion.com/p/Oat-milk-2f15c35c29d08137b1d1fe531b57b43a?pvs=21), Vehnäjauho (https://app.notion.com/p/Vehn-jauho-2f65c35c29d080d0b279d725cd33b99b?pvs=21)",No,https://www.k-ruoka.fi/reseptit/pinaattiletut
Porkkanaletut,"Main Course, Side Dish","Carrots (kotimainen) (https://app.notion.com/p/Carrots-kotimainen-2f15c35c29d08122a393d4be7e1953f6?pvs=21), Cheese (https://app.notion.com/p/Cheese-2f15c35c29d080fb8d8dec6a93cbc15d?pvs=21), Oat milk (https://app.notion.com/p/Oat-milk-2f15c35c29d08137b1d1fe531b57b43a?pvs=21), Milk (https://app.notion.com/p/Milk-2f65c35c29d080998742dc8bad45be59?pvs=21), Vehnäjauho (https://app.notion.com/p/Vehn-jauho-2f65c35c29d080d0b279d725cd33b99b?pvs=21), Eggs (https://app.notion.com/p/Eggs-2f15c35c29d0810a9d34cef9c6bb558a?pvs=21)",No,https://yhteishyva.fi/reseptit/porkkanaletut/recipe-1567
Porkkanaletut soseesta ja avokadosalaatti,Main Course,Other unusual (https://app.notion.com/p/Other-unusual-2f15c35c29d080f5992ed0c9de7d5951?pvs=21),No,https://www.k-ruoka.fi/reseptit/porkkanaletut-ja-avokadosalaatti
