Ingredients,Category,Favorites,Inventory,Recipes,Season,Shopping List
Avocado,Vegetables,No,Low,Yrttinen uunitofu (https://app.notion.com/p/Yrttinen-uunitofu-3205c35c29d080df81c7c3c095f4eb88?pvs=21),"April, February, January, March",No
Cucumber,Vegetables,No,Not relevant,,,No
Parmesan Cheese,Dairy & Alternatives,No,Not relevant,Pesto (A ei tykännyt) (https://app.notion.com/p/Pesto-A-ei-tyk-nnyt-3a45c35c29d08061b55ac7980d247e21?pvs=21),,No
Tomatoes,Fruits,No,Not relevant,"Paahdettu kikhernepasta (https://app.notion.com/p/Paahdettu-kikhernepasta-3145c35c29d080669ddef66a2be86e49?pvs=21), Munakoisopasta (https://app.notion.com/p/Munakoisopasta-3b55c35c29d08095971bedd19738ac35?pvs=21)",,No
Basil,Herbs & Spices,No,Not relevant,"Pesto (A ei tykännyt) (https://app.notion.com/p/Pesto-A-ei-tyk-nnyt-3a45c35c29d08061b55ac7980d247e21?pvs=21), Munakoisopasta (https://app.notion.com/p/Munakoisopasta-3b55c35c29d08095971bedd19738ac35?pvs=21)",,No
Siitakesieni (kotimainen),"Mushrooms, Vegetables",No,Not relevant,,"February, January, March",No
Herkkusieni,,Yes,Empty,,,No
Portobello (kotimainen),"Mushrooms, Vegetables",No,Not relevant,,"April, February, January, March",No
Verigreippi,,No,Not relevant,,"February, January, March",No
Omena (kotimainen),Fruits,No,Not relevant,,"February, January",No
Kiwi,,No,Not relevant,,"February, January",No
Guava,Fruits,No,Not relevant,,"February, January, March",No
Banaani,Fruits,No,Not relevant,,"February, January, March",No
Valko-/keräkaali (kotimainen),"Cabbage, Vegetables",Yes,Not relevant,,"April, February, January, March",No
Ruusukaali (kotimainen),"Cabbage, Vegetables",Yes,Not relevant,Hummuspasta (https://app.notion.com/p/Hummuspasta-3095c35c29d080b89f8dd93f31d516f3?pvs=21),January,No
Suippokaali (kotimainen),,No,Not relevant,,January,No
Lehtikaali (kotimainen),,No,Not relevant,,January,No
Kiinankaali (kotimainen),,No,Not relevant,,"February, January",No
Kurpitsa (kotimainen),,No,Not relevant,,January,No
Myskikurpitsa (kotimainen),,No,Not relevant,,"February, January",No
Spagettikurpitsa,,No,Not relevant,,January,No
Raitajuuri,,No,Not relevant,,"April, February, January, March",No
Nauris (kotimainen),,No,Not relevant,,"February, January",No
Palsternakka (kotimainen),,No,Not relevant,,"February, January, March",No
Maa-artisokka (kotimainen),,No,Not relevant,,"February, January, March",No
Punajuuri (kotimainen),,No,Not relevant,,"April, February, January, March",No
Lanttu (kotimainen),"Root vegetable, Vegetables",No,Not relevant,,"February, January, March",No
Fenkoli,Vegetables,No,Not relevant,Viherpippurilohi ja fenkolimuhennos (https://app.notion.com/p/Viherpippurilohi-ja-fenkolimuhennos-2fc5c35c29d080a68a12f4cd61c3fb11?pvs=21),"February, January",No
Tofu,Vegan and vegetarian products,No,Not relevant,"Täyteläinen maapähkinäcurry (https://app.notion.com/p/T-ytel-inen-maap-hkin-curry-2f15c35c29d080e1a5e3eb9f49e13ab3?pvs=21), Yrttinen uunitofu (https://app.notion.com/p/Yrttinen-uunitofu-3205c35c29d080df81c7c3c095f4eb88?pvs=21), Munakoisopasta (https://app.notion.com/p/Munakoisopasta-3b55c35c29d08095971bedd19738ac35?pvs=21)",,No
Other unusual,,No,Not relevant,"Porkkanaletut soseesta ja avokadosalaatti (https://app.notion.com/p/Porkkanaletut-soseesta-ja-avokadosalaatti-2f15c35c29d080b9b09dff1e6744a768?pvs=21), Punakaali-bao buns (https://app.notion.com/p/Punakaali-bao-buns-2f15c35c29d080a9a4e9d89178f230cd?pvs=21), Suppilovahveropasta (https://app.notion.com/p/Suppilovahveropasta-2fc5c35c29d080c78a99e56426eed919?pvs=21), Yrttinen uunitofu (https://app.notion.com/p/Yrttinen-uunitofu-3205c35c29d080df81c7c3c095f4eb88?pvs=21)",,No
Feta,,No,Empty,"Shakshuka (https://app.notion.com/p/Shakshuka-2f15c35c29d0801abef8e0ebc956e020?pvs=21), Paahdettu kikhernepasta (https://app.notion.com/p/Paahdettu-kikhernepasta-3145c35c29d080669ddef66a2be86e49?pvs=21), Palak paneer (https://app.notion.com/p/Palak-paneer-2f15c35c29d08037a4e2e21076c3cc02?pvs=21), Uunifeta-parsapasta (https://app.notion.com/p/Uunifeta-parsapasta-3355c35c29d0807aad8ee174255f2859?pvs=21)",,Yes
Cheese,,No,Full,"Perunapannukakku tuorejuustotäytteellä (https://app.notion.com/p/Perunapannukakku-tuorejuustot-ytteell-2f15c35c29d0805b895ddfe9c70310f0?pvs=21), Porkkanaletut (https://app.notion.com/p/Porkkanaletut-2f75c35c29d080aea793eb9234efc50f?pvs=21)",,No
Punakaali (kotimainen),"Root vegetable, Vegetables",No,Low,"Punakaali-bao buns (https://app.notion.com/p/Punakaali-bao-buns-2f15c35c29d080a9a4e9d89178f230cd?pvs=21), Yrttinen uunitofu (https://app.notion.com/p/Yrttinen-uunitofu-3205c35c29d080df81c7c3c095f4eb88?pvs=21)","April, February, March",No
Balsamic vinegar,Pantry & Condiments,No,Empty,,,No
Lime,Fruits,No,Low,"Punakaali-bao buns (https://app.notion.com/p/Punakaali-bao-buns-2f15c35c29d080a9a4e9d89178f230cd?pvs=21), Limettinuudelit (https://app.notion.com/p/Limettinuudelit-2f85c35c29d08006bb67f8356d7b8d3b?pvs=21), Uunifeta-parsapasta (https://app.notion.com/p/Uunifeta-parsapasta-3355c35c29d0807aad8ee174255f2859?pvs=21)","April, February, January, March",No
Kidney beans,Beans & Seeds & Nuts,No,Empty,Punakaali-bao buns (https://app.notion.com/p/Punakaali-bao-buns-2f15c35c29d080a9a4e9d89178f230cd?pvs=21),,No
Coriander,Herbs & Spices,No,Full,"Punakaali-bao buns (https://app.notion.com/p/Punakaali-bao-buns-2f15c35c29d080a9a4e9d89178f230cd?pvs=21), Limettinuudelit (https://app.notion.com/p/Limettinuudelit-2f85c35c29d08006bb67f8356d7b8d3b?pvs=21), Kikhernepihvit (https://app.notion.com/p/Kikhernepihvit-2fd5c35c29d0800e9529f50bccc1354d?pvs=21)",,No
Red onion (kotimainen),Vegetables,No,Not relevant,"Punakaali-bao buns (https://app.notion.com/p/Punakaali-bao-buns-2f15c35c29d080a9a4e9d89178f230cd?pvs=21), Viherpippurilohi ja fenkolimuhennos (https://app.notion.com/p/Viherpippurilohi-ja-fenkolimuhennos-2fc5c35c29d080a68a12f4cd61c3fb11?pvs=21)","February, March",No
Apple cider vinegar,Pantry & Condiments,No,Full,Punakaali-bao buns (https://app.notion.com/p/Punakaali-bao-buns-2f15c35c29d080a9a4e9d89178f230cd?pvs=21),,No
Tortillas,,No,Not relevant,Tacos (https://app.notion.com/p/Tacos-2f65c35c29d08095b1f6e2ea9aec8583?pvs=21),,No
Orange,Fruits,No,Not relevant,,"April, February, January, March",No
Grapefruit,Fruits,No,Not relevant,,February,No
Blood orange,Fruits,No,Not relevant,,"April, February, March",No
Sweet potato,"Root vegetable, Vegetables",No,Not relevant,Bataatticurry (https://app.notion.com/p/Bataatticurry-2f65c35c29d0805f9541e4b7d814e75a?pvs=21),"April, February, January, March",No
Mustajuuri,,No,Not relevant,,"April, February, January, March",No
Juustokumina,,No,Full,Bataatticurry (https://app.notion.com/p/Bataatticurry-2f65c35c29d0805f9541e4b7d814e75a?pvs=21),,No
Coconut milk,Dairy & Alternatives,No,Not relevant,Bataatticurry (https://app.notion.com/p/Bataatticurry-2f65c35c29d0805f9541e4b7d814e75a?pvs=21),Always,No
Tomaattisose,,No,,Bataatticurry (https://app.notion.com/p/Bataatticurry-2f65c35c29d0805f9541e4b7d814e75a?pvs=21),,No
Spinach,,No,,"Bataatticurry (https://app.notion.com/p/Bataatticurry-2f65c35c29d0805f9541e4b7d814e75a?pvs=21), Pinaattiletut (https://app.notion.com/p/Pinaattiletut-2f65c35c29d0801e907bdf06ce7c5bbc?pvs=21), Palak paneer (https://app.notion.com/p/Palak-paneer-2f15c35c29d08037a4e2e21076c3cc02?pvs=21)",,Yes
Milk,,No,,"Pinaattiletut (https://app.notion.com/p/Pinaattiletut-2f65c35c29d0801e907bdf06ce7c5bbc?pvs=21), Porkkanaletut (https://app.notion.com/p/Porkkanaletut-2f75c35c29d080aea793eb9234efc50f?pvs=21), Naan (https://app.notion.com/p/Naan-31b5c35c29d08027b0e5e969d5cafef1?pvs=21)",,No
Vehnäjauho,,No,,"Pinaattiletut (https://app.notion.com/p/Pinaattiletut-2f65c35c29d0801e907bdf06ce7c5bbc?pvs=21), Porkkanaletut (https://app.notion.com/p/Porkkanaletut-2f75c35c29d080aea793eb9234efc50f?pvs=21), Suppilovahveropasta (https://app.notion.com/p/Suppilovahveropasta-2fc5c35c29d080c78a99e56426eed919?pvs=21), Kikhernepihvit (https://app.notion.com/p/Kikhernepihvit-2fd5c35c29d0800e9529f50bccc1354d?pvs=21)",,No
Coconut,Fruits,No,Not relevant,,January,No
Ginger,"Root vegetable, Vegetables",No,,Limettinuudelit (https://app.notion.com/p/Limettinuudelit-2f85c35c29d08006bb67f8356d7b8d3b?pvs=21),"April, March",No
"Onion (yellow, kotimainen)",Vegetables,No,Full,"Suppilovahveropasta (https://app.notion.com/p/Suppilovahveropasta-2fc5c35c29d080c78a99e56426eed919?pvs=21), Kikhernepihvit (https://app.notion.com/p/Kikhernepihvit-2fd5c35c29d0800e9529f50bccc1354d?pvs=21), Palak paneer (https://app.notion.com/p/Palak-paneer-2f15c35c29d08037a4e2e21076c3cc02?pvs=21), Creamy barley (ohra) and mushroom risotto (https://app.notion.com/p/Creamy-barley-ohra-and-mushroom-risotto-3275c35c29d080fc85b6d02b1be0fc6a?pvs=21), Kasvissosekeitto (https://app.notion.com/p/Kasvissosekeitto-3b55c35c29d080479aa8fa31bda0bb40?pvs=21)","February, January, March",No
Osterivinokas,,No,,Sienitäyte tacoihin (https://app.notion.com/p/Sienit-yte-tacoihin-2f75c35c29d08088b1deeb88fbe24b08?pvs=21),,No
Tomaattipyree,,No,,Sienitäyte tacoihin (https://app.notion.com/p/Sienit-yte-tacoihin-2f75c35c29d08088b1deeb88fbe24b08?pvs=21),,No
Honey,,No,,Sienitäyte tacoihin (https://app.notion.com/p/Sienit-yte-tacoihin-2f75c35c29d08088b1deeb88fbe24b08?pvs=21),,No
